Rank,Airline,Country,No.,Ref.
1,Turkish Airlines,Turkey,120,[44]
2,Qatar Airways,Qatar,89,[45]
3,Air France,France,85,[46]
4,Ethiopian Airlines,Ethiopia,84,[47]
5,Emirates,United Arab Emirates,80,[48]
=6,British Airways,United Kingdom,77,[49]
=6,Lufthansa,Germany,77,[50]
8,United Airlines,United States,73,[51]
9,American Airlines,United States,63,[52]
10,KLM,Netherlands,62,[53]
