Rank,Airline,Country,No.,Ref.
1,United Airlines[a],United States,992,[32]
2,Delta Air Lines[a],United States,986,[33]
3,American Airlines[a],United States,977,[34]
4,Southwest Airlines,United States,803,[35]
5,China Southern Airlines,China,663,[36]
6,China Eastern Airlines,China,652,[37]
7,SkyWest Airlines[b],United States,581,[38]
8,Air China,China,502,[39]
9,FedEx Express[c],United States,477,[40]
10,IndiGo,India,431,[41]
