Rank,Airline,Country,No.,Ref.
1,Southwest Airlines,United States,3161,[59]
2,Ryanair,Ireland,2631,[60]
3,American Airlines,United States,1237,[52]
4,China Eastern Airlines,China,1051,[58]
5,United Airlines,United States,1033,[51]
6,Delta Air Lines,United States,975,[54]
7,China Southern Airlines,China,963,[56]
8,Air China,China,641,[61]
9,IndiGo,India,610,[62]
10,Turkish Airlines,Turkey,531,[63]
